Player,Pos,Squad,Comp,npxG,-9999
Andy Delort,FW,Montpellier,fr Ligue 1,1.4,d33c706e
Julian Draxler,FWMF,Paris S-G,fr Ligue 1,1.4,1a992676
Christian Eriksen,MF,Brentford,eng Premier League,1.4,980522ec
Alfonso Espino,DF,Cádiz,es La Liga,1.4,db001fa9
Ansu Fati,FW,Barcelona,es La Liga,1.4,0ba976e4
Álex Fernández,MF,Cádiz,es La Liga,1.4,aa677a35
Alexis Flips,FWMF,Reims,fr Ligue 1,1.4,caef7840
Nicholas Gioacchini,MFFW,Montpellier,fr Ligue 1,1.4,79ab7593
Cedric Gondo,FW,Salernitana,it Serie A,1.4,ff37d2ef
Nicolás González,MF,Barcelona,es La Liga,1.4,2c56a792
Josuha Guilavogui,MFDF,Bordeaux,fr Ligue 1,1.4,e6c43eec
Patrick Herrmann,DFFW,M'Gladbach,de Bundesliga,1.4,dfb6490a
Lee Kangin,MFFW,Mallorca,es La Liga,1.4,8455ad90
Ilan Kebbal,MFFW,Reims,fr Ligue 1,1.4,37d04e90
Florian Krüger,FWMF,Arminia,de Bundesliga,1.4,f9f92b5f
Vincent Le Goff,DF,Lorient,fr Ligue 1,1.4,2321ea6e
Diego Llorente,DF,Leeds United,eng Premier League,1.4,bba30585
Arne Maier,MF,Augsburg,de Bundesliga,1.4,ab700320
Hugo Mallo,DF,Celta Vigo,es La Liga,1.4,cb574619
Myziane Maolida,FWMF,Hertha BSC,de Bundesliga,1.4,706a60e1
Tyrone Mings,DF,Aston Villa,eng Premier League,1.4,8397a50c
Michael Olise,FWMF,Crystal Palace,eng Premier League,1.4,c4486bac
Gastón Pereiro,FWMF,Cagliari,it Serie A,1.4,7ec7738e
Carles Pérez,MFFW,Roma,it Serie A,1.4,a8f21b9f
